k,mse
1,4.713147694337749e-05
2,4.635124015567271e-05
4,4.506396552733349e-05
8,4.367524543704349e-05
16,4.2346344467659946e-05
32,4.11679033272776e-05
64,3.9835476650750933e-05
128,3.850082349117656e-05
