k,mse,cosine_sim,taylor_params,orig_params,storage_ratio
1,0.0020268593550426886,0.654774620629847,4224,296000,0.01427027027027027
2,0.001939281458122423,0.6692774454057216,8448,296000,0.02854054054054054
4,0.0019082215361413545,0.6755833339691162,16896,296000,0.05708108108108108
8,0.0018911782266368392,0.6811079835891723,33792,296000,0.11416216216216216
16,0.0017831099747272674,0.6987762606590986,67584,296000,0.2283243243243243
32,0.0017262365647475236,0.708166001021862,135168,296000,0.4566486486486486
64,0.001643820368248271,0.724939499989152,270336,296000,0.9132972972972973
128,0.0015927420211810385,0.7324878888279199,540672,296000,1.8265945945945945
