k,mse
1,0.00010490878702603368
2,0.00010329657290185423
4,0.00010059399943020253
8,9.764416474081373e-05
16,9.480240576522192e-05
32,9.235548566903162e-05
64,8.958174113377026e-05
128,8.681709873872024e-05
