k,mse
1,0.0019941962292068637
2,0.0020226386349531823
4,0.0018480986483045854
8,0.0017946393719757907
16,0.0016785848595318384
32,0.0016047913470247294
64,0.0015204036556824576
128,0.0014931526798609412
